[0]/usr/bin/python carre
[0]   SHA_DEPOT_GIREF    : 6c31e4d1576593f6a0175ebe6cf14a689554b10d
[0]   STATUS_DEPOT_GIREF : 
[0]   SHA_DEPOT_TV       : 071f3002f480adf5c456f2bde2e4ca3be8f903de
[0]
[0]Temps de profiling "usager"
[0] Total    sec(WC) s(SelfUser) s(SelfSys) s(ChildUser) s(ChildSys) (VmSizeDiff , VmRSSDiff, VmDataDiff) nbApls      Etiquette
[0] Total      0.0002     0.0000     0.0002      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_10(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_10::postCalcul.
[0] Total      0.0136     0.0090     0.0011      0.0000      0.0000      512 KB       496 KB       512 KB    1 x   PP::Res_NISP_11::preCalcul.
[0] Total      0.0003     0.0003     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_11(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_11::postCalcul.
[0] Total      0.0128     0.0092     0.0003      0.0000      0.0000      512 KB       488 KB       512 KB    1 x   PP::Res_NISP_12::preCalcul.
[0] Total      0.0002     0.0002     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_12(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_12::postCalcul.
[0] Total      0.0139     0.0109     0.0000      0.0000      0.0000      508 KB       488 KB       508 KB    1 x   PP::Res_NISP_13::preCalcul.
[0] Total      0.0003     0.0003     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_13(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_13::postCalcul.
[0] Total      0.0116     0.0075     0.0010      0.0000      0.0000      512 KB       484 KB       512 KB    1 x   PP::Res_NISP_14::preCalcul.
[0] Total      0.0002     0.0000     0.0002      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_14(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_14::postCalcul.
[0] Total      0.0101     0.0057     0.0011      0.0000      0.0000      512 KB       488 KB       512 KB    1 x   PP::Res_NISP_15::preCalcul.
[0] Total      0.0002     0.0002     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_15(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_15::postCalcul.
[0] Total      0.0158     0.0082     0.0044      0.0000      0.0000      508 KB       492 KB       508 KB    1 x   PP::Res_NISP_16::preCalcul.
[0] Total      0.0004     0.0000     0.0004      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_16(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_16::postCalcul.
[0] Total      0.0147     0.0088     0.0031      0.0000      0.0000      512 KB       492 KB       512 KB    1 x   PP::Res_NISP_17::preCalcul.
[0] Total      0.0004     0.0003     0.0001      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_17(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_17::postCalcul.
[0] Total      0.0133     0.0090     0.0013      0.0000      0.0000      552 KB       500 KB       552 KB    1 x   PP::Res_NISP_18::preCalcul.
[0] Total      0.0003     0.0003     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_18(ProbDida)_:98x98).
[0] Total      0.0001     0.0000     0.0001      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_18::postCalcul.
[0] Total      0.0140     0.0087     0.0017      0.0000      0.0000      508 KB       480 KB       508 KB    1 x   PP::Res_NISP_19::preCalcul.
[0] Total      0.0003     0.0003     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_19(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_19::postCalcul.
[0] Total      0.0117     0.0066     0.0013      0.0000      0.0000      512 KB       488 KB       512 KB    1 x   PP::Res_NISP_20::preCalcul.
[0] Total      0.0003     0.0003     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_20(ProbDida)_:98x98).
[0] Total      0.0000     0.0000     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x   PP::Res_NISP_20::postCalcul.
[0] Total      0.0104     0.0061     0.0010      0.0000      0.0000      508 KB       484 KB       508 KB    1 x   PP::Res_NISP_21::preCalcul.
[0] Total      0.0002     0.0002     0.0000      0.0000      0.0000        0 KB         0 KB         0 KB    1 x         MatricePETScCSR::definirStructureEtMettreAZeroAvecGIS(Matrice_ProbDida_A_Sol_NISP_21(ProbDida)_:98x98).
[0] Total      0.0001     0.0001     0.0000      0.0000      0.0000        0 KB         4 KB         0 KB    1 x   PP::Res_NISP_21::postCalcul.
[0] Total      0.0090     0.0053     0.0007      0.0000      0.0000      508 KB       492 KB       508 KB    1 x   PP::Res_NISP_22::preCalcul.
